0-60 (s),1/4 Mile ET (s),Trap Speed (mph),Top Speed (mph),Lateral G @ 120 mph,100-0 Braking (ft),Drive Type Encoded,Weight (lb),60-130 (s),Lap Time (s),Predicted Lap Time (s),Prediction Error,Absolute Error,Car
3.1,9.8,150.0,180.0,,,0.0,1940.0,7.4,83.928,93.47511,9.547112915039065,9.547112915039065,2008 Mazda Furai
8.3,14.9,91.0,118.0,0.77,433.0,0.0,3279.0,19.7,111.595,118.91989,7.324891357421876,7.324891357421876,1970 Chevrolet Nova SS
2.7,10.0,147.0,234.0,2.18,225.0,0.0,2536.0,5.0,87.827,81.82474,-6.002262451171873,6.002262451171873,2010 Pagani Zonda R
3.6,10.3,122.0,127.0,0.83,400.1,0.0,3527.0,12.1,108.517,103.670135,-4.846864501953121,4.846864501953121,1968 Dodge Dart Hemi Super Stock
3.0,,,207.0,,,0.0,2011.0,4.6,78.054,82.73906,4.6850594482421855,4.6850594482421855,2002 Cadillac Northstar LMP-02
2.9,10.1,145.0,234.0,2.11,225.0,0.0,2766.0,5.2,87.075,82.47366,-4.601336669921878,4.601336669921878,2006 Ferrari FXX
8.1,15.5,92.0,163.0,0.94,332.8,0.0,2930.0,26.8,115.307,110.96697,-4.340027648925783,4.340027648925783,1955 Mercedes-Benz 300SL Gullwing W198
3.0,10.5,138.0,194.0,,,0.0,2976.0,6.1,90.564,94.76954,4.205538879394538,4.205538879394538,2009 Gumpert Apollo S
8.0,15.6,94.0,148.0,0.94,322.6,0.0,3376.0,20.2,117.556,113.625755,-3.9302446899414036,3.9302446899414036,1964 Aston Martin DB5
2.7,9.9,149.0,208.0,1.82,211.3,0.0,2756.0,4.8,85.367,82.00821,-3.3587907714843794,3.3587907714843794,2019 Apollo Intensa Emozione
4.5,12.5,116.0,200.0,,,0.0,4134.0,11.8,102.48599999999999,99.346985,-3.13901513671874,3.13901513671874,2005 Aston Martin V12 Vanquish S
8.4,16.2,85.0,139.0,1.01,305.9,0.0,2763.0,30.3,113.505,116.203285,2.698285217285161,2.698285217285161,1992 Nissan 240SX S13
8.5,16.6,85.0,125.0,0.96,308.9,0.0,2330.0,43.6,116.352,118.96965,2.6176502685546836,2.6176502685546836,1972 Datsun 240Z
5.4,13.7,107.0,168.0,0.98,326.4,1.0,3067.0,15.7,106.245,108.65511,2.410113220214839,2.410113220214839,2016 Honda Civic Type R FK2
4.4,12.8,111.0,181.0,,,0.0,3385.0,12.5,98.158,100.45126,2.2932634277343737,2.2932634277343737,2004 Ferrari 360 Spider
3.6,11.7,124.0,206.0,1.07,283.6,0.0,4578.0,8.8,101.412,99.12056,-2.2914403076171936,2.2914403076171936,2016 Dodge Charger Hellcat
5.1,13.4,106.0,178.0,,,0.0,3351.0,15.6,104.45,102.270004,-2.1799957275390653,2.1799957275390653,1996 Chevrolet Corvette C4 Grand Sport Coupe
9.6,16.7,87.0,122.0,0.91,344.2,0.0,2898.0,37.1,119.25800000000001,121.42644,2.1684373779296777,2.1684373779296777,1958 BMW 507
