0-60 (s),1/4 Mile ET (s),Trap Speed (mph),60-130 (s),Lateral G @ 120 mph,100-0 Braking (ft),Lap Time (s),Predicted Lap Time (s),Prediction Error,Absolute Error
3.1,10.3,,4.6,,,77.548,96.97007,19.422069885253904,19.422069885253904
3.4,10.5,160.0,4.3,1.94,,78.08,90.80715,12.727151794433595,12.727151794433595
5.8,13.5,105.0,18.3,1.05,,112.59899999999999,101.31164,-11.28736212158202,11.28736212158202
2.9,10.5,139.0,4.4,,,83.995,93.8438,9.848803405761714,9.848803405761714
,,,29.7,1.0,298.6,112.241,103.014854,-9.226145568847656,9.226145568847656
3.1,9.8,150.0,7.4,,,83.928,92.54414,8.616143676757815,8.616143676757815
10.6,17.4,78.0,,0.91,352.2,124.523,116.07038,-8.452618835449215,8.452618835449215
7.4,15.6,90.0,29.5,,,115.61099999999999,107.56481,-8.046188293457021,8.046188293457021
2.2,9.8,150.0,4.8,1.55,,84.969,92.842834,7.873834472656256,7.873834472656256
,,,3.6,1.38,233.4,84.89,92.63725,7.747252807617187,7.747252807617187
2.3,9.8,139.0,6.9,1.08,239.2,99.025,91.50498,-7.520018005371099,7.520018005371099
,,,4.0,1.35,235.0,85.494,92.63725,7.143252807617188,7.143252807617188
7.2,15.7,89.0,29.8,,,114.01400000000001,107.596634,-6.4173660888671975,6.4173660888671975
6.0,14.5,98.0,23.6,,,111.344,105.107185,-6.236814636230463,6.236814636230463
6.1,13.4,106.0,,0.76,436.3,112.59100000000001,106.49989,-6.091106811523446,6.091106811523446
7.6,15.9,89.0,28.5,0.96,,113.344,107.56481,-5.779188293457025,5.779188293457025
3.0,10.1,153.0,5.1,1.24,219.8,89.672,84.06891,-5.603091308593747,5.603091308593747
7.1,15.3,91.0,21.0,0.97,,111.96600000000001,106.724335,-5.241665283203133,5.241665283203133
2.6,9.8,,5.3,2.25,180.9,79.583,84.70995,5.12695330810547,5.12695330810547
8.0,15.6,94.0,20.2,0.94,322.6,117.556,112.540695,-5.01530480957031,5.01530480957031
3.5,11.6,127.0,8.3,1.14,238.2,97.922,92.92694,-4.995059082031247,4.995059082031247
6.9,14.9,93.0,23.2,0.96,,111.441,106.602165,-4.838834777832034,4.838834777832034
2.6,9.7,171.0,3.2,1.5,,85.399,90.23529,4.836290527343749,4.836290527343749
3.0,9.7,,4.2,,,92.584,97.034,4.449996582031247,4.449996582031247
3.4,11.6,121.0,9.7,1.21,266.9,93.99799999999999,98.44652,4.448517944335947,4.448517944335947
2.8,,,5.5,1.27,245.0,89.51,93.80887,4.29886840820312,4.29886840820312
,,,5.9,1.32,261.9,91.218,95.49468,4.276682312011715,4.276682312011715
4.5,12.5,116.0,11.8,,,102.48599999999999,98.46096,-4.025039611816396,4.025039611816396
5.1,13.3,101.0,16.7,1.1,276.7,101.392,105.26407,3.872068603515629,3.872068603515629
4.0,12.1,115.0,12.2,1.09,278.1,102.619,98.869446,-3.7495541992187498,3.7495541992187498
5.1,13.4,103.0,15.3,1.17,264.6,96.674,100.39519,3.721187377929681,3.721187377929681
3.0,10.5,138.0,6.1,,,90.564,94.07568,3.511683593750007,3.511683593750007
8.0,16.0,86.0,27.4,1.04,295.3,107.428,110.9254,3.4973997802734402,3.4973997802734402
3.8,12.2,116.0,12.0,1.1,255.0,99.99000000000001,96.55768,-3.432321777343759,3.432321777343759
2.9,,,5.3,1.81,218.9,86.612,90.03347,3.421470153808599,3.421470153808599
,,,6.0,1.52,235.7,89.225,92.63725,3.412252807617193,3.412252807617193
5.4,14.0,98.0,19.9,1.06,320.6,107.017,110.34582,3.328817565917973,3.328817565917973
3.2,11.3,124.0,9.0,1.38,245.0,90.356,93.663475,3.307475036621099,3.307475036621099
8.3,16.0,86.0,46.2,0.76,446.6,123.056,119.78187,-3.274132019042966,3.274132019042966
3.5,11.5,122.0,10.7,0.96,308.7,100.40899999999999,103.65183,3.2428325805664144,3.2428325805664144
2.9,10.7,137.0,6.3,1.34,272.8,90.907,94.07568,3.1686835937500035,3.1686835937500035
2.7,9.9,149.0,4.8,1.82,211.3,85.367,82.22711,-3.1398881835937544,3.1398881835937544
5.1,13.4,106.0,15.6,,,104.45,101.31164,-3.138362121582034,3.138362121582034
,,,22.8,0.91,353.9,108.749,105.642525,-3.106475280761714,3.106475280761714
5.8,14.3,98.0,19.2,0.96,311.7,113.441,110.34582,-3.0951824340820338,3.0951824340820338
3.6,11.7,124.0,8.8,1.07,283.6,101.412,98.42141,-2.9905903930664124,2.9905903930664124
6.7,15.2,94.0,,0.92,362.3,115.263,112.27538,-2.9876170043945365,2.9876170043945365
5.3,13.5,104.0,21.4,1.03,293.3,107.811,104.84271,-2.968287597656257,2.968287597656257
6.6,14.5,99.0,19.8,0.96,,107.969,105.04885,-2.9201489868164003,2.9201489868164003
3.7,11.6,129.0,7.9,1.13,,98.406,95.50007,-2.9059313354492247,2.9059313354492247
1.9,8.6,168.0,3.3,1.31,253.4,84.439,87.31193,2.8729277954101633,2.8729277954101633
8.6,16.6,86.0,27.0,0.93,322.9,119.037,116.2404,-2.7965977783203186,2.7965977783203186
5.3,13.8,104.0,16.7,,,105.316,102.57284,-2.7431621704101588,2.7431621704101588
5.7,14.2,100.0,20.6,1.01,295.0,104.399,107.0936,2.694597412109374,2.694597412109374
4.3,12.6,117.0,11.7,1.09,273.9,101.543,98.857864,-2.685135620117194,2.685135620117194
5.2,13.9,100.0,17.1,1.06,284.7,103.293,105.977585,2.684584838867181,2.684584838867181
5.5,13.8,103.0,19.0,0.93,331.2,111.481,108.80293,-2.678067260742182,2.678067260742182
,,,20.4,0.92,355.3,106.74000000000001,104.21838,-2.521616210937509,2.521616210937509
9.4,17.3,78.0,34.9,0.89,378.4,119.99600000000001,117.49201,-2.503987976074228,2.503987976074228
7.0,15.0,94.0,20.9,0.89,352.1,115.5,113.01448,-2.4855194091796875,2.4855194091796875
3.9,12.1,121.0,9.9,1.13,,95.991,98.44652,2.455517944335938,2.455517944335938
4.4,12.8,111.0,12.5,,,98.158,100.58471,2.4267091674804675,2.4267091674804675
2.7,9.9,161.0,4.0,1.33,245.0,89.98400000000001,87.640236,-2.3437640991211026,2.3437640991211026
